,WHOLE_TIME,CITY,TIMES,LATITUDE,LONGITUDE,STATION_ID,LIGHT,Temperature,WS,RH,Precp,ROAD_TYPE_SUB1,SIGNAL_TYPE,VEHICLE_MAIN,OBJ_GENDER,OBJ_AGE,CAMERA_ID,EQUIP_TYPE
0,14,新北市,3,25.074364,121.5027884,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,交岔路,行車管制號誌,機車,女,中年,NP0783,移動式測速設備執法地點
1,14,新北市,1,25.05685241,121.49912,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,交岔路,行車管制號誌,機車,女,中年,NP0808,移動式測速設備執法地點
2,14,新北市,2,24.9957521,121.4351926,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,交岔路,行車管制號誌,機車,女,中年,NP0439,移動式測速設備執法地點
3,14,新北市,4,25.06399145,121.5025369,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,交岔路,行車管制號誌,機車,女,中年,NP0104,固定式交通違規照相路段
4,14,新北市,2,25.02221386,121.4854458,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,行車管制號誌,機車,女,中年,NP0178,固定式交通違規照相路段
5,14,新北市,1,25.01763166,121.5109428,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0352,移動式測速設備執法地點
6,14,新北市,1,25.06164913,121.6522281,C0AH00,日間自然光線,30.3,1.3,0.52,0.00,交岔路,行車管制號誌,機車,女,中年,NP0172,固定式交通違規照相路段
7,14,新北市,1,24.93641477,121.389341,C0AC60,日間自然光線,-99,-99,-99,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0113,固定式交通違規照相路段
8,14,新北市,1,25.01443495,121.4710998,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,單路部分,無號誌,機車,女,中年,,
9,14,新北市,1,25.00467692,121.5039398,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,,
10,14,新北市,1,25.00911085,121.4995779,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,行車管制號誌,機車,女,中年,,
11,14,新北市,1,25.09126876,121.4571051,C0AD30,日間自然光線,31.7,2.2,0.59,0.00,交岔路,行車管制號誌,機車,女,中年,NP0325,固定式交通違規照相路段
12,14,新北市,1,25.01883563,121.465242,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,單路部分,無號誌,機車,女,中年,,
13,14,新北市,1,25.06213013,121.6532192,C0AH00,日間自然光線,30.3,1.3,0.52,0.00,單路部分,行車管制號誌,機車,女,中年,NP0025,違規停車科技執法
14,14,新北市,1,25.01665215,121.5153603,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,無號誌,機車,女,中年,NP0156,固定式交通違規照相路段
15,14,新北市,1,25.00792995,121.525205,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,無號誌,機車,女,中年,NP0351,移動式測速設備執法地點
16,14,新北市,1,25.0059756,121.459593,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,單路部分,行車管制號誌,機車,女,中年,,
17,14,新北市,1,25.06398689,121.6516753,C0AH00,日間自然光線,30.3,1.3,0.52,0.00,交岔路,行車管制號誌,機車,女,中年,NP0172,固定式交通違規照相路段
18,14,新北市,1,25.06146019,121.4868389,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,單路部分,無號誌,機車,女,中年,NP0052,路口多功能違規科技執法
19,14,新北市,1,25.00941408,121.4632981,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,交岔路,行車管制號誌,機車,女,中年,NP0910,違規停車科技執法
20,14,新北市,1,25.03477598,121.4540541,C0ACA0,日間自然光線,29.3,0.8,0.8,0.00,單路部分,行車管制號誌,機車,女,中年,NP0055,路口多功能違規科技執法
21,14,新北市,2,24.98675891,121.540831,C0AG80,日間自然光線,29.7,1.0,0.78,0.00,交岔路,行車管制號誌,機車,女,中年,NP0258,固定式交通違規照相路段
22,14,新北市,1,25.07158932,121.4951594,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,,
23,14,新北市,1,24.99107121,121.4483407,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,單路部分,無號誌,機車,女,中年,,
24,14,新北市,1,25.00832823,121.5084176,C0AH10,日間自然光線,30.2,0.8,0.74,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0048,路口多功能違規科技執法
25,14,新北市,1,25.05569072,121.4938304,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0952,違規停車科技執法
26,14,新北市,3,24.99365961,121.498467,C0AG80,日間自然光線,29.7,1.0,0.78,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0049,路口多功能違規科技執法
27,14,新北市,1,25.03890455,121.4603072,C0ACA0,日間自然光線,29.3,0.8,0.8,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0056,路口多功能違規科技執法
28,14,新北市,3,25.01842327,121.4709518,C0AD40,日間自然光線,29.5,0.6,0.79,0.00,交岔路,行車管制號誌(附設行人專用號誌),機車,女,中年,NP0188,固定式交通違規照相路段
29,14,新北市,2,25.06147275,121.4867342,C0AI30,日間自然光線,31.1,1.4,0.59,0.00,單路部分,無號誌,機車,女,中年,NP0052,路口多功能違規科技執法
